100
2 0
1 1
o 1 1
3 4
+ 2 1
+ 2 2
+ 2 3
x 3 1
100 97
+ 21 2
+ 91 8
+ 13 69
+ 19 27
+ 24 71
+ 6 58
+ 11 2
+ 4 36
+ 29 63
+ 3 46
+ 27 43
+ 30 39
+ 6 83
+ 16 1
+ 3 23
+ 33 1
+ 46 32
+ 30 26
+ 28 16
+ 62 12
+ 12 6
+ 38 1
+ 3 5
+ 14 27
+ 2 41
+ 21 8
+ 57 14
+ 21 4
+ 2 7
+ 13 6
+ 54 23
+ 74 2
+ 1 32
+ 2 8
+ 7 45
+ 16 35
+ 4 32
+ 10 40
+ 11 68
+ 21 11
+ 49 4
+ 7 56
+ 5 80
+ 40 14
+ 27 3
+ 24 57
+ 10 28
+ 15 30
+ 66 6
+ 13 42
+ 1 13
+ 68 7
+ 24 4
+ 5 53
+ 3 90
+ 50 34
+ 25 35
+ 46 16
+ 46 13
+ 26 71
+ 21 3
+ 9 13
+ 77 3
+ 6 9
+ 74 17
+ 14 72
+ 13 8
+ 51 22
+ 1 60
+ 4 2
+ 1 1
+ 35 61
+ 7 4
+ 30 7
+ 35 7
+ 3 95
+ 3 4
+ 37 10
+ 10 90
+ 23 44
+ 19 46
+ 91 10
+ 41 7
+ 63 5
+ 10 2
+ 26 5
+ 55 33
+ 3 17
+ 49 38
+ 6 29
+ 15 68
+ 26 1
+ 65 29
+ 20 37
+ 33 57
+ 3 2
+ 10 56
26 47
+ 1 4
+ 23 22
o 8 12
x 22 24
+ 23 12
o 14 22
o 26 26
o 23 1
x 13 21
o 18 10
o 1 7
+ 23 19
+ 13 1
+ 4 17
x 19 23
+ 18 11
+ 1 15
+ 17 2
x 7 18
+ 11 23
+ 13 24
x 2 14
+ 4 13
+ 26 12
+ 26 13
o 12 19
x 16 9
o 9 4
x 6 13
o 5 20
x 24 2
+ 18 12
+ 1 17
x 25 17
+ 20 21
o 20 3
+ 9 6
x 10 16
o 17 15
x 11 11
+ 21 12
o 4 6
o 3 8
+ 2 25
o 15 25
+ 16 6
o 21 5
3 2
+ 1 1
+ 3 2
100 100
+ 8 35
+ 15 45
+ 64 10
x 53 77
x 86 8
+ 22 25
x 56 66
+ 1 1
x 17 44
+ 1 7
+ 61 8
x 76 1
+ 73 28
x 54 13
x 8 93
+ 51 44
x 73 17
+ 30 43
+ 5 87
+ 11 75
x 23 64
x 48 5
x 74 31
+ 23 47
+ 2 20
x 21 21
x 61 33
+ 43 19
+ 30 8
+ 39 1
x 46 53
+ 30 49
+ 41 8
+ 11 82
+ 3 48
+ 61 22
+ 15 56
+ 2 89
+ 26 46
+ 5 1
x 11 4
x 72 10
x 1 45
x 4 78
x 14 19
+ 9 44
x 55 84
x 82 83
+ 10 90
x 92 95
x 89 25
x 84 99
+ 4 1
+ 5 30
x 87 70
+ 9 23
x 16 48
+ 38 26
